specimen collector sample ID,lineage name,host (scientific name),breadth of coverage value,sample collection date,geo_loc_name (country),gisaid_epi_isl
ON_670132,JN.1.22,Homo sapiens,99.5,2023-11-02,Canada,EPI_ISL_18504291
QC_671454,JN.1,Homo sapiens,99.6,2023-11-03,Canada,EPI_ISL_18535012
AB_667895,JN.1,Homo sapiens,99.3,2023-11-03,Canada,EPI_ISL_18513170
AB_667691,JN.1,Homo sapiens,99.3,2023-11-03,Canada,EPI_ISL_18512986
ON_669676,JN.1.9,Homo sapiens,99.6,2023-11-03,Canada,EPI_ISL_18505101
NL_666382,JN.1.4,Homo sapiens,99.3,2023-11-03,Canada,EPI_ISL_18537178
ON_669608,JN.1.6,Homo sapiens,99.6,2023-11-04,Canada,EPI_ISL_18505034
NS_666452,JN.1.47.1,Homo sapiens,99.3,2023-11-04,Canada,EPI_ISL_18523409
ON_669890,JN.1.1,Homo sapiens,99.2,2023-11-04,Canada,EPI_ISL_18505311
AB_667746,JN.1.9,Homo sapiens,99.3,2023-11-04,Canada,EPI_ISL_18513037
ON_669908,JN.1.2,Homo sapiens,99.0,2023-11-05,Canada,EPI_ISL_18505329
ON_669829,JN.1.1,Homo sapiens,98.6,2023-11-05,Canada,EPI_ISL_18505250
ON_670031,JN.1.2,Homo sapiens,98.8,2023-11-05,Canada,EPI_ISL_18505452
QC_671397,JN.1,Homo sapiens,99.6,2023-11-06,Canada,EPI_ISL_18534955
BC_668903,JN.1.1,Homo sapiens,98.9,2023-11-06,Canada,EPI_ISL_18527087
ON_672056,JN.1.2,Homo sapiens,99.6,2023-11-06,Canada,EPI_ISL_18523628
SK_696477,JN.1.4,Homo sapiens,95.7,2023-11-06,Canada,EPI_ISL_18929980
QC_671420,JN.1.4,Homo sapiens,99.3,2023-11-06,Canada,EPI_ISL_18534978
AB_667656,JN.1,Homo sapiens,99.3,2023-11-06,Canada,EPI_ISL_18512952
ON_670155,JN.1.9,Homo sapiens,99.6,2023-11-06,Canada,EPI_ISL_18504314
QC_671432,JN.1.1,Homo sapiens,99.6,2023-11-06,Canada,EPI_ISL_18534990
QC_671374,JN.1,Homo sapiens,99.6,2023-11-06,Canada,EPI_ISL_18534932
QC_671408,JN.1.2,Homo sapiens,99.6,2023-11-06,Canada,EPI_ISL_18534966
QC_671386,JN.1.2,Homo sapiens,99.6,2023-11-06,Canada,EPI_ISL_18534944
QC_671375,JN.1.1,Homo sapiens,95.3,2023-11-06,Canada,EPI_ISL_18534933
ON_671869,JN.1.2,Homo sapiens,99.6,2023-11-06,Canada,EPI_ISL_18523495
ON_672055,JN.1.2,Homo sapiens,99.6,2023-11-07,Canada,EPI_ISL_18523627
BC_669014,JN.1.2,Homo sapiens,99.0,2023-11-07,Canada,EPI_ISL_18527158
ON_672012,JN.1,Homo sapiens,99.6,2023-11-08,Canada,EPI_ISL_18524263
ON_670281,JN.1.8.3,Homo sapiens,96.7,2023-11-08,Canada,EPI_ISL_18504438
ON_672239,JN.1.4,Homo sapiens,99.5,2023-11-09,Canada,EPI_ISL_18523787
ON_672394,JN.1.31,Homo sapiens,99.5,2023-11-09,Canada,EPI_ISL_18523889
ON_672409,JN.1.8,Homo sapiens,98.7,2023-11-09,Canada,EPI_ISL_18524356
ON_672465,JN.1,Homo sapiens,99.4,2023-11-10,Canada,EPI_ISL_18524382
ON_672540,JN.1.4,Homo sapiens,99.6,2023-11-10,Canada,EPI_ISL_18524406
ON_672577,JN.1.5,Homo sapiens,99.6,2023-11-10,Canada,EPI_ISL_18524417
AB_670791,JN.1.1,Homo sapiens,99.3,2023-11-10,Canada,EPI_ISL_18538768
AB_670943,JN.1.1,Homo sapiens,99.3,2023-11-10,Canada,EPI_ISL_18538908
AB_670934,JN.1,Homo sapiens,99.3,2023-11-10,Canada,EPI_ISL_18538901
ON_672400,JN.1,Homo sapiens,99.5,2023-11-10,Canada,EPI_ISL_18524351
ON_672468,JN.1,Homo sapiens,99.6,2023-11-10,Canada,EPI_ISL_18524385
AB_670760,JN.1,Homo sapiens,99.3,2023-11-10,Canada,EPI_ISL_18538739
ON_672461,JN.1.4,Homo sapiens,99.5,2023-11-10,Canada,EPI_ISL_18524378
AB_670932,JN.1.1,Homo sapiens,99.3,2023-11-10,Canada,EPI_ISL_18538899
ON_672463,JN.1.4,Homo sapiens,99.5,2023-11-10,Canada,EPI_ISL_18524380
ON_672537,JN.1.4,Homo sapiens,98.7,2023-11-10,Canada,EPI_ISL_18524403
AB_670950,JN.1.4,Homo sapiens,99.3,2023-11-11,Canada,EPI_ISL_18538915
ON_685342,JN.1,Homo sapiens,98.8,2023-11-12,Canada,EPI_ISL_18695823
ON_672729,JN.1.2,Homo sapiens,95.7,2023-11-12,Canada,EPI_ISL_18524139
ON_672688,JN.1,Homo sapiens,99.6,2023-11-12,Canada,EPI_ISL_18524103
QC_671506,JN.1.22,Homo sapiens,99.6,2023-11-13,Canada,EPI_ISL_18535064
QC_671488,JN.1,Homo sapiens,99.6,2023-11-13,Canada,EPI_ISL_18535046
QC_671507,JN.1.1,Homo sapiens,99.6,2023-11-13,Canada,EPI_ISL_18535065
AB_670853,JN.1,Homo sapiens,99.3,2023-11-13,Canada,EPI_ISL_18538825
AB_673641,JN.1,Homo sapiens,99.3,2023-11-13,Canada,EPI_ISL_18563973
QC_671492,JN.1.4.5,Homo sapiens,99.5,2023-11-13,Canada,EPI_ISL_18535050
ON_672838,JN.1.31,Homo sapiens,99.5,2023-11-13,Canada,EPI_ISL_18523165
QC_671486,JN.1.60,Homo sapiens,99.6,2023-11-13,Canada,EPI_ISL_18535044
AB_673669,JN.1,Homo sapiens,99.3,2023-11-13,Canada,EPI_ISL_18563998
AB_673642,JN.1,Homo sapiens,99.3,2023-11-13,Canada,EPI_ISL_18563974
AB_673435,JN.1,Homo sapiens,99.3,2023-11-13,Canada,EPI_ISL_18563791
ON_672462,JN.1.4,Homo sapiens,99.2,2023-11-13,Canada,EPI_ISL_18524379
AB_671017,JN.1.1,Homo sapiens,99.3,2023-11-13,Canada,EPI_ISL_18538976
NB_671166,JN.1.4,Homo sapiens,99.3,2023-11-13,Canada,EPI_ISL_18537389
QC_671493,JN.1.4,Homo sapiens,99.6,2023-11-13,Canada,EPI_ISL_18535051
AB_673468,JN.1.1,Homo sapiens,99.3,2023-11-13,Canada,EPI_ISL_18563822
AB_673665,JN.1,Homo sapiens,99.3,2023-11-14,Canada,EPI_ISL_18563995
ON_676687,JN.1.1,Homo sapiens,98.7,2023-11-14,Canada,EPI_ISL_18582366
ON_672936,JN.1.2,Homo sapiens,99.1,2023-11-14,Canada,EPI_ISL_18523237
AB_673505,JN.1.1,Homo sapiens,99.3,2023-11-14,Canada,EPI_ISL_18563856
ON_674299,JN.1,Homo sapiens,99.6,2023-11-14,Canada,EPI_ISL_18548590
ON_674374,JN.1.1,Homo sapiens,98.9,2023-11-14,Canada,EPI_ISL_18548665
ON_674733,JN.1,Homo sapiens,99.6,2023-11-15,Canada,EPI_ISL_18549024
ON_674736,JN.1,Homo sapiens,98.0,2023-11-15,Canada,EPI_ISL_18549027
ON_674737,JN.1,Homo sapiens,99.6,2023-11-15,Canada,EPI_ISL_18549028
SK_676530,JN.1.1,Homo sapiens,93.1,2023-11-15,Canada,EPI_ISL_18719549
AB_673624,JN.1,Homo sapiens,95.8,2023-11-15,Canada,EPI_ISL_18563956
ON_674519,JN.1.2,Homo sapiens,99.6,2023-11-15,Canada,EPI_ISL_18548810
AB_673519,JN.1,Homo sapiens,99.3,2023-11-15,Canada,EPI_ISL_18563870
AB_675955,JN.1,Homo sapiens,99.3,2023-11-16,Canada,EPI_ISL_18593406
ON_675092,JN.1.4,Homo sapiens,99.6,2023-11-16,Canada,EPI_ISL_18549288
AB_673707,JN.1,Homo sapiens,99.3,2023-11-16,Canada,EPI_ISL_18564030
ON_675091,JN.1.1,Homo sapiens,99.6,2023-11-16,Canada,EPI_ISL_18549287
AB_673708,JN.1,Homo sapiens,99.2,2023-11-16,Canada,EPI_ISL_18564031
ON_674389,JN.1,Homo sapiens,99.2,2023-11-16,Canada,EPI_ISL_18548680
ON_676686,JN.1.1,Homo sapiens,98.9,2023-11-16,Canada,EPI_ISL_18582365
AB_673785,JN.1.4.5,Homo sapiens,99.1,2023-11-16,Canada,EPI_ISL_18564101
AB_673737,JN.1,Homo sapiens,99.3,2023-11-17,Canada,EPI_ISL_18564057
NS_673027,JN.1,Homo sapiens,99.3,2023-11-17,Canada,EPI_ISL_18566976
NL_671538,JN.1.4,Homo sapiens,95.7,2023-11-17,Canada,EPI_ISL_18563667
ON_676803,JN.1.4,Homo sapiens,99.6,2023-11-17,Canada,EPI_ISL_18582455
ON_674926,JN.1.31,Homo sapiens,98.9,2023-11-17,Canada,EPI_ISL_18549217
AB_673924,JN.1,Homo sapiens,99.3,2023-11-17,Canada,EPI_ISL_18564223
ON_676846,JN.1,Homo sapiens,99.5,2023-11-17,Canada,EPI_ISL_18583201
BC_675497,JN.1.1,Homo sapiens,99.1,2023-11-17,Canada,EPI_ISL_18580999
PE_682030,JN.1.22,Homo sapiens,99.37,2023-11-17,Canada,EPI_ISL_19218820
ON_676750,JN.1.4,Homo sapiens,99.6,2023-11-17,Canada,EPI_ISL_18582415
NB_674971,JN.1.2,Homo sapiens,99.3,2023-11-17,Canada,EPI_ISL_18559333
ON_674929,JN.1.1,Homo sapiens,98.8,2023-11-17,Canada,EPI_ISL_18549220
AB_675949,JN.1.4.5,Homo sapiens,99.3,2023-11-17,Canada,EPI_ISL_18593401
AB_675963,JN.1,Homo sapiens,99.3,2023-11-17,Canada,EPI_ISL_18593411
AB_673909,JN.1,Homo sapiens,99.3,2023-11-17,Canada,EPI_ISL_18564212
ON_675106,JN.1,Homo sapiens,99.6,2023-11-17,Canada,EPI_ISL_18549302
ON_674956,JN.1,Homo sapiens,98.6,2023-11-17,Canada,EPI_ISL_18549247
ON_675140,JN.1,Homo sapiens,99.5,2023-11-17,Canada,EPI_ISL_18549336
AB_675959,JN.1,Homo sapiens,99.3,2023-11-17,Canada,EPI_ISL_18593408
ON_676733,JN.1.39,Homo sapiens,99.5,2023-11-17,Canada,EPI_ISL_18583173
AB_673834,JN.1,Homo sapiens,99.3,2023-11-18,Canada,EPI_ISL_18564145
ON_675123,JN.1.1,Homo sapiens,99.6,2023-11-18,Canada,EPI_ISL_18549319
ON_675086,JN.1.1,Homo sapiens,99.6,2023-11-18,Canada,EPI_ISL_18549282
AB_673768,JN.1.4.5,Homo sapiens,99.3,2023-11-18,Canada,EPI_ISL_18564085
ON_674939,JN.1,Homo sapiens,98.8,2023-11-18,Canada,EPI_ISL_18549230
SK_676529,JN.1.2,Homo sapiens,91.4,2023-11-18,Canada,EPI_ISL_18719747
AB_673965,JN.1.4,Homo sapiens,99.3,2023-11-18,Canada,EPI_ISL_18564256
ON_675068,JN.1.1,Homo sapiens,98.6,2023-11-18,Canada,EPI_ISL_18549264
AB_673777,JN.1,Homo sapiens,98.8,2023-11-18,Canada,EPI_ISL_18564093
ON_675113,JN.1.1,Homo sapiens,99.6,2023-11-18,Canada,EPI_ISL_18549309
AB_673938,JN.1,Homo sapiens,99.3,2023-11-19,Canada,EPI_ISL_18564234
ON_675196,JN.1.19,Homo sapiens,99.6,2023-11-19,Canada,EPI_ISL_18549392
AB_676008,JN.1.4.5,Homo sapiens,99.3,2023-11-19,Canada,EPI_ISL_18593448
ON_675183,JN.1.1,Homo sapiens,99.6,2023-11-19,Canada,EPI_ISL_18549379
ON_675236,JN.1.4,Homo sapiens,98.5,2023-11-19,Canada,EPI_ISL_18549432
AB_673827,JN.1,Homo sapiens,99.3,2023-11-19,Canada,EPI_ISL_18564140
AB_673782,JN.1,Homo sapiens,99.3,2023-11-19,Canada,EPI_ISL_18564098
AB_675969,JN.1,Homo sapiens,99.3,2023-11-19,Canada,EPI_ISL_18593416
AB_673783,JN.1,Homo sapiens,99.3,2023-11-19,Canada,EPI_ISL_18564099
ON_675082,JN.1.1,Homo sapiens,99.6,2023-11-19,Canada,EPI_ISL_18549278
NB_674999,JN.1.4,Homo sapiens,99.3,2023-11-19,Canada,EPI_ISL_18559368
ON_677385,JN.1.1,Homo sapiens,98.9,2023-11-20,Canada,EPI_ISL_18582959
AB_673930,JN.1,Homo sapiens,99.3,2023-11-20,Canada,EPI_ISL_18564228
ON_674822,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18549113
ON_677133,JN.1.2,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18582744
ON_674795,JN.1.22,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18549086
ON_677134,JN.1.2,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18582745
QC_678442,JN.1.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586291
QC_678509,JN.1.22,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586357
QC_678457,JN.1.22,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586306
ON_674788,JN.1.31,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18549079
NB_675006,JN.1.4,Homo sapiens,99.3,2023-11-20,Canada,EPI_ISL_18559342
QC_678433,JN.1.18,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586282
QC_678468,JN.1.47.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586317
ON_677076,JN.1,Homo sapiens,99.4,2023-11-20,Canada,EPI_ISL_18582688
QC_678461,JN.1.4,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586310
QC_678463,JN.1.22,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586312
QC_678470,JN.1.4,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586319
AB_673830,JN.1,Homo sapiens,99.3,2023-11-20,Canada,EPI_ISL_18564141
ON_675193,JN.1.4,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18549389
MB_675926,JN.1.22,Homo sapiens,99.28,2023-11-20,Canada,EPI_ISL_18947045
QC_678435,JN.1.41,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586284
QC_678498,JN.1.22,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586346
ON_676791,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18582445
ON_674857,JN.1,Homo sapiens,98.9,2023-11-20,Canada,EPI_ISL_18549148
ON_676830,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18582477
ON_675237,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18549433
QC_678484,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586333
QC_678469,JN.1.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586318
ON_677058,JN.1,Homo sapiens,98.9,2023-11-20,Canada,EPI_ISL_18582670
NS_675837,JN.1.22,Homo sapiens,99.3,2023-11-20,Canada,EPI_ISL_18593331
QC_678505,JN.1.4,Homo sapiens,99.5,2023-11-20,Canada,EPI_ISL_18586353
QC_678438,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586287
ON_675232,JN.1.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18549428
ON_675233,JN.1.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18549429
QC_678489,JN.1.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586338
QC_678479,JN.1.22,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586328
QC_678507,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586355
QC_678478,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586327
QC_678497,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586345
ON_674840,JN.1,Homo sapiens,99.5,2023-11-20,Canada,EPI_ISL_18549131
ON_677207,JN.1.2,Homo sapiens,98.9,2023-11-20,Canada,EPI_ISL_18582798
QC_678430,JN.1.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586279
QC_678501,JN.1.55,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586349
ON_674793,JN.1,Homo sapiens,98.2,2023-11-20,Canada,EPI_ISL_18549084
ON_676831,JN.1,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18582478
QC_678503,JN.1.22,Homo sapiens,99.6,2023-11-20,Canada,EPI_ISL_18586351
ON_677296,JN.1,Homo sapiens,99.5,2023-11-21,Canada,EPI_ISL_18582884
ON_677240,JN.1,Homo sapiens,99.0,2023-11-21,Canada,EPI_ISL_18582830
ON_677070,JN.1.2,Homo sapiens,95.9,2023-11-21,Canada,EPI_ISL_18582682
ON_676965,JN.1.1,Homo sapiens,99.6,2023-11-21,Canada,EPI_ISL_18583220
ON_676964,JN.1.31,Homo sapiens,99.6,2023-11-21,Canada,EPI_ISL_18583219
AB_676040,JN.1,Homo sapiens,99.3,2023-11-21,Canada,EPI_ISL_18593478
AB_676257,JN.1,Homo sapiens,99.3,2023-11-21,Canada,EPI_ISL_18593649
ON_676958,JN.1.1,Homo sapiens,99.6,2023-11-21,Canada,EPI_ISL_18583213
ON_676957,JN.1.1,Homo sapiens,99.6,2023-11-21,Canada,EPI_ISL_18583212
ON_677241,JN.1.2,Homo sapiens,99.6,2023-11-21,Canada,EPI_ISL_18582831
BC_680976,JN.1.2,Homo sapiens,99.0,2023-11-21,Canada,EPI_ISL_18654410
ON_677593,JN.1,Homo sapiens,99.6,2023-11-21,Canada,EPI_ISL_18583125
AB_675984,JN.1.1,Homo sapiens,99.3,2023-11-21,Canada,EPI_ISL_18593428
AB_676049,JN.1,Homo sapiens,99.3,2023-11-21,Canada,EPI_ISL_18593486
ON_677320,JN.1.2,Homo sapiens,99.3,2023-11-21,Canada,EPI_ISL_18582903
ON_677506,JN.1.9,Homo sapiens,99.6,2023-11-21,Canada,EPI_ISL_18583284
ON_677625,JN.1.1,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18583144
ON_677356,JN.1.2,Homo sapiens,98.8,2023-11-22,Canada,EPI_ISL_18583264
ON_677292,JN.1,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18582881
ON_677309,JN.1,Homo sapiens,98.1,2023-11-22,Canada,EPI_ISL_18582892
ON_677958,JN.1.2,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18581767
ON_677754,JN.1.1,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18581595
ON_677548,JN.1.31,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18583294
ON_677302,JN.1.52,Homo sapiens,99.2,2023-11-22,Canada,EPI_ISL_18583259
AB_679496,JN.1.1,Homo sapiens,99.3,2023-11-22,Canada,EPI_ISL_18659659
AB_676064,JN.1,Homo sapiens,99.3,2023-11-22,Canada,EPI_ISL_18593499
ON_677255,JN.1,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18582845
NL_675786,JN.1.4,Homo sapiens,95.7,2023-11-22,Canada,EPI_ISL_18593288
AB_676289,JN.1,Homo sapiens,99.3,2023-11-22,Canada,EPI_ISL_18593677
ON_677189,JN.1.1,Homo sapiens,99.2,2023-11-22,Canada,EPI_ISL_18583247
ON_677445,JN.1.2,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18583013
AB_676045,JN.1.31,Homo sapiens,96.3,2023-11-22,Canada,EPI_ISL_18593482
ON_677159,JN.1.2,Homo sapiens,98.1,2023-11-22,Canada,EPI_ISL_18582770
ON_677247,JN.1.2,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18582837
ON_677822,JN.1,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18581649
ON_677024,JN.1,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18582636
AB_675987,JN.1.4,Homo sapiens,99.3,2023-11-22,Canada,EPI_ISL_18593430
ON_677749,JN.1,Homo sapiens,99.6,2023-11-22,Canada,EPI_ISL_18581591
ON_677804,JN.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581636
AB_676294,JN.1,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18593681
BC_678736,JN.1,Homo sapiens,97.0,2023-11-23,Canada,EPI_ISL_18608961
AB_676356,JN.1,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18593741
ON_677459,JN.1.1,Homo sapiens,99.5,2023-11-23,Canada,EPI_ISL_18583282
AB_676392,JN.1,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18593760
ON_677559,JN.1.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18583305
AB_676355,JN.1,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18593740
ON_677952,JN.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581762
ON_678137,JN.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581923
ON_677866,JN.1.2,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581686
ON_678230,JN.1.2,Homo sapiens,97.4,2023-11-23,Canada,EPI_ISL_18582010
ON_677643,JN.1.4,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18583158
QC_682233,JN.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18654282
ON_677672,JN.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581532
ON_678213,JN.1.2,Homo sapiens,97.9,2023-11-23,Canada,EPI_ISL_18581997
ON_677264,JN.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18582854
ON_678277,JN.1,Homo sapiens,98.9,2023-11-23,Canada,EPI_ISL_18582045
AB_679258,JN.1,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18659456
BC_678728,JN.1.1,Homo sapiens,98.9,2023-11-23,Canada,EPI_ISL_18608952
ON_677454,JN.1.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18583277
ON_677645,JN.1.4,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18583160
ON_677753,JN.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581594
ON_677538,JN.1.9,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18583095
ON_677911,JN.1.2,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581724
ON_677455,JN.1.1,Homo sapiens,99.5,2023-11-23,Canada,EPI_ISL_18583278
ON_677982,JN.1.1,Homo sapiens,99.5,2023-11-23,Canada,EPI_ISL_18582234
ON_677549,JN.1.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18583295
AB_676268,JN.1.1,Homo sapiens,98.8,2023-11-23,Canada,EPI_ISL_18593658
NB_675041,JN.1.22,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18559361
AB_679262,JN.1,Homo sapiens,98.8,2023-11-23,Canada,EPI_ISL_18659459
AB_676077,JN.1,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18593511
ON_678009,JN.1.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18582250
ON_677710,JN.1,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18582190
ON_677800,JN.1.19,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581633
MB_690442,JN.1.44,Homo sapiens,99.28,2023-11-23,Canada,EPI_ISL_18946988
ON_677652,JN.1.4,Homo sapiens,99.5,2023-11-23,Canada,EPI_ISL_18581514
BC_678660,JN.1.1,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18608898
ON_677905,JN.1.2,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581718
ON_677894,JN.1,Homo sapiens,99.1,2023-11-23,Canada,EPI_ISL_18581707
AB_679263,JN.1,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18659460
ON_678181,JN.1.2,Homo sapiens,99.2,2023-11-23,Canada,EPI_ISL_18581965
ON_677835,JN.1.2,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18582217
BC_678729,JN.1.1,Homo sapiens,98.9,2023-11-23,Canada,EPI_ISL_18608953
AB_676092,JN.1,Homo sapiens,99.3,2023-11-23,Canada,EPI_ISL_18593525
ON_677796,JN.1.44,Homo sapiens,99.6,2023-11-23,Canada,EPI_ISL_18581631
SK_679560,JN.1.1,Homo sapiens,98.6,2023-11-24,Canada,EPI_ISL_18719752
ON_677934,JN.1,Homo sapiens,98.9,2023-11-24,Canada,EPI_ISL_18581746
